cora_acct_id,hostitemid,techno,actualhours,bookerno,causes,comeback,comebackro,comebacksa,comebacktech,complaintcode,failedpart,failedpartcount,failurecode,laborcost,laborsale,labortype,linecode,misccost,miscsale,opcode,opcodedescription,partscost,partssale,ronumber,servicerequest,soldhours,timecardhours,vehid,rowlastupdated,addonflag,authorizationcode,bookeddate,bookedtime,campaigncode,cc_prompton_cp,cc_prompton_ip,cc_prompton_wp,claimtype,concerncode,concerncodelabel,concerncodelabelabbr,concerndescription,conditioncode,dispatchactualduration,dispatchcode,dispatchestimatedduration,dispatchlinecode,dispatchlinestatus,labordebitaccount,labordebitcompany,labordebitcontrol,laborjournal,laborjournalcompany,laborsaleaccount,laborsalecompany,laborsalecontrol,linoriginappl,linorigincode,loporiginappl,loporigincode,lopseqno,make,mcdlaborpercentage,originappl,origincode,otherhours,partsflag,pickitemid,servicewriter,storyseqnumber,techno2,techno3,techno4,techno5,technos,rowlastupdatedutc,lopdiscseqnos,baseid,labordiscount,partsdiscount,join_cora_acct_id,cora_acct_code,de_server_ip_addr,server_ip_addr
"4","HN007670*83924*8*0","36042","0.00","36084",,"0",,,,"B008A090000",,"0",,"0.0000","0.0000","CPM","B","0.0000","0.0000","0087IN","Inspect Windshield Wiper Blades","0.0000","0.0000","83924","Service -  90,000 Miles","0.00","0.00","HN007670","2026-01-10 03:08:18.59546","N",,"2026-01-09 00:00:00.0","16:38:35",,"N","N","N",,,"CONCERN CODE","CC",,,"0.5","AS10","1.4","B",,,,,"30","1","4411","1",,,,"EDGE-RO-LOP-SP-","RO-ED","8","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","0","21194*LOP*83924*8","36084","1",,,,,"36042","2026-01-10 08:08:18.59546",,,"0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","HN007670*83924*7*0","36042","0.00","36084",,"0",,,,"B008A090000",,"0",,"0.0000","0.0000","CPM","B","0.0000","0.0000","0079IN","Inspect Tires and Adjust Air Pressures, Including Spare Tire","0.0000","0.0000","83924","Service -  90,000 Miles","0.00","0.00","HN007670","2026-01-10 03:08:18.59546","N",,"2026-01-09 00:00:00.0","16:38:35",,"N","N","N",,,"CONCERN CODE","CC",,,"0.5","AS10","1.4","B",,,,,"30","1","4411","1",,,,"EDGE-RO-LOP-SP-","RO-ED","7","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","0","21194*LOP*83924*7","36084","1",,,,,"36042","2026-01-10 08:08:18.59546",,,"0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","HN007670*83924*6*0","36042","0.00","36084",,"0",,,,"B008A090000",,"0",,"0.0000","0.0000","CPM","B","0.0000","0.0000","0025IN","Inspect Brake System","0.0000","0.0000","83924","Service -  90,000 Miles","0.00","0.00","HN007670","2026-01-10 03:08:18.59546","N",,"2026-01-09 00:00:00.0","16:38:35",,"N","N","N",,,"CONCERN CODE","CC",,,"0.5","AS10","1.4","B",,,,,"30","1","4411","1",,,,"EDGE-RO-LOP-SP-","RO-ED","6","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","0","21194*LOP*83924*6","36084","1",,,,,"36042","2026-01-10 08:08:18.59546",,,"0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","HN007670*83924*5*0","36042","0.00","36084",,"0",,,,"B008A090000",,"0",,"0.0000","0.0000","CPM","B","0.0000","0.0000","00004M","Reset Service Indicator","0.0000","0.0000","83924","Service -  90,000 Miles","0.00","0.00","HN007670","2026-01-10 03:08:18.59546","N",,"2026-01-09 00:00:00.0","16:38:35",,"N","N","N",,,"CONCERN CODE","CC",,,"0.5","AS10","1.4","B",,,,,"30","1","4411","1",,,,"EDGE-RO-LOP-SP-","RO-ED","5","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","0","21194*LOP*83924*5","36084","1",,,,,"36042","2026-01-10 08:08:18.59546",,,"0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","HN007670*83924*4*0","36042","0.00","36084",,"0",,,,"B008A090000",,"0",,"0.0000","0.0000","CPM","B","0.0000","0.0000","00003R","Replace Engine Oil Filter","0.0000","0.0000","83924","Service -  90,000 Miles","0.00","0.00","HN007670","2026-01-10 03:08:18.59546","N",,"2026-01-09 00:00:00.0","16:38:35",,"N","N","N",,,"CONCERN CODE","CC",,,"0.5","AS10","1.4","B",,,,,"30","1","4411","1",,,,"EDGE-RO-LOP-SP-","RO-ED","4","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","0","21194*LOP*83924*4","36084","1",,,,,"36042","2026-01-10 08:08:18.59546",,,"0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","HN007670*83924*3*0","36042","0.00","36084",,"0",,,,"B008A090000",,"0",,"0.0000","0.0000","CPM","B","0.0000","0.0000","00001R","Replace Engine Oil","0.0000","0.0000","83924","Service -  90,000 Miles","0.00","0.00","HN007670","2026-01-10 03:08:18.59546","N",,"2026-01-09 00:00:00.0","16:38:35",,"N","N","N",,,"CONCERN CODE","CC",,,"0.5","AS10","1.4","B",,,,,"30","1","4411","1",,,,"EDGE-RO-LOP-SP-","RO-ED","3","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","0","21194*LOP*83924*3","36084","1",,,,,"36042","2026-01-10 08:08:18.59546",,,"0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","HN007670*83924*2*0","36042","0.45","36084",,"0",,,,"B008A090000",,"0",,"42.0000","273.0000","CPM","B","0.0000","0.0000","B008A090000","Service -  90,000 Miles","46.8100","91.3700","83924","Service -  90,000 Miles","1.40","0.00","HN007670","2026-01-10 03:08:18.59546","N",,"2026-01-09 00:00:00.0","16:38:35",,"N","N","N",,,"CONCERN CODE","CC",,,"0.5","AS10","1.4","B",,,,,"30","1","4411","1",,,,"EDGE-RO-LOP--","RO-ED","2","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","1","21194*LOP*83924*2","36084","1",,,,,"36042","2026-01-10 08:08:18.59546",,,"0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","HN007670*83924*1*0","36042","0.00","36084",,"0",,,,"MPI",,"0",,"0.0000","0.0000","ISP","A","0.0000","0.0000","MPI","PERFORM MULTI POINT INSPECTION","0.0000","0.0000","83924","PERFORM MULTI POINT INSPECTION","0.00","0.00","HN007670","2026-01-10 03:08:18.59546","N",,"2026-01-09 00:00:00.0","16:38:15",,"N","N","N",,,"CONCERN CODE","CC",,,"0.0","AS10","0.0","A",,"6403","1",,"34","1","4415","1",,,,"EDGE-RO-LOP--","RO-ED","1","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","0","21194*LOP*83924*1","36084","1",,,,,"36042","2026-01-10 08:08:18.59546",,"HN007670*83924","0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","EN038723*83920*31*0","33961","0.00","95",,"0",,,,"REP",,"0",,"43.5000","0.0000","ISP","F","0.0000","0.0000","REP","General Service Request","0.0000","0.0000","83920","Check why using so much oil","1.50","0.00","EN038723","2026-01-10 03:08:18.59546","Y",,"2026-01-09 00:00:00.0","16:28:31",,"N","N","N",,,"CONCERN CODE","CC",,,"0.0","AS10","0.0","F",,"6403","1",,"34","1","4415","1",,,,"EDGE-RO-LOP--","RO-ED","32","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","0","21194*LOP*83920*32","36084","1",,,,,"33961","2026-01-10 08:08:18.59546",,,"0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
"4","EN038723*83920*30*0","33961","0.02","95",,"0",,,,"CUST",,"0",,"0.0000","0.0000","ISP","E","0.0000","0.0000","CUST","CUSTOMR STATES","0.0000","0.0000","83920","CUSTOMR STATES TO CHECK WIPERS ON MULTI POINT INSPECTION PER NORMAL PER ADVISOR THOMAS UPON CHECK IN BE ADVISED.","0.00","0.00","EN038723","2026-01-10 03:08:18.59546","Y",,"2026-01-09 00:00:00.0","16:29:13",,"N","N","N",,,"CONCERN CODE","CC",,,"0.0","AS10","0.0","E",,"6403","1",,"34","1","4415","1",,,,"Service","SWR","31","AUDI","100","EDGE-RO-LOP--","RO-ED","0.00","0","21194*LOP*83920*31","36084","1",,,,,"33961","2026-01-10 08:08:18.59546",,,"0.0000","0.0000","4","ACF-S","127.0.0.1","207.187.65.211"
